Title,Author,Source,Persona,Date_Collected,Trend_Reason,Trend_Category,Genre Tag(s),Series,Publisher,First_Publish_Year,Page_Count,Adaptation,Diversity_Rep,Content_Warnings,Description
The Lesbiana’s Guide to Catholic School,Sonora Reyes,BookTok,Toni,25-Feb,Queer Latine teen voice still resonating,Queer or Identity-Based Discovery,"YA, Contemporary, Queer Coming of Age",No,Balzer + Bray,2022,400,,"Homophobia,Religion",A closeted girl finds love and rebellion,
Pet,Akwaeke Emezi,BookTok,Toni,25-Feb,Eerie allegory keeps drawing readers in,Algorithmic Popularity (General Virality),"YA, Speculative Fiction",Yes,Make Me a World,2019,208,,,A creature from a painting comes to hunt a hidden monster,
Lore Olympus (Vol. 1),Rachel Smythe,BookTok,Toni,25-Feb,Webtoon-turned-print GN remains viral,Algorithmic Popularity (General Virality),"Graphic Novel, Myth Retelling",Yes,Del Rey,2021,384,,,"Hades x Persephone reimagined in pink, ink, and ache",
Canto,David M. Booher & Drew Zucker,BookTok,Toni,25-Feb,Indie fantasy GN gains queer support,Indie or BIPOC Author Buzz,"Graphic Novel, Fantasy",Yes,IDW,2019,160,,Implied Queer,"Slavery, love",A tin knight fights for a clockwork heart
The Inheritance of Orquídea Divina,Zoraida Córdova,BookTok,Toni,25-Feb,Dreamlike Latinx magical family saga resurging,Algorithmic Popularity (General Virality),"Magical Realism, Family Saga",No,Atria,2021,336,,,A matriarch’s death leaves behind supernatural seeds,
The Girl from the Sea,Molly Knox Ostertag,BookTok,Toni,25-Feb,Sapphic selkie summer GN resurging,Algorithmic Popularity (General Virality),"Graphic Novel, Queer Romance",No,Graphix,2021,256,,Outing Fears,A teen girl falls for a selkie and faces who she is,
After the Forest,Kell Woods,BookTok,Toni,25-Feb,"“Hansel & Gretel, but grown” vibes trending",Algorithmic Popularity (General Virality),"Fantasy, Fairy Tale Retelling",No,Tor,2023,400,,,"Gretel's past is far from over, and so are the monsters",
Bitter,Akwaeke Emezi,BookTok,Toni,25-Feb,"Art, protest, and magical rage resurging",Algorithmic Popularity (General Virality),"YA Fantasy, Queer Lit",Yes,Knopf,2022,256,,,Teens summon monsters to fight systemic injustice,
What the Font?!,Konnosuke Saeki,BookTok,Toni,25-Feb,Alt-typography manga trending in zinecore spaces,Algorithmic Popularity (General Virality),"Manga, Typography, Slice of Life",No,Seven Seas,2020,136,,Mild Work Stress,A girl finds sentient fonts living in her office,
Squire,Sara Alfageeh & Nadia Shammas,BookTok,Toni,25-Feb,Queer-coded Arab fantasy GN resurging,Queer or Identity-Based Discovery,"Graphic Novel, Historical Fantasy",No,HarperAlley,2022,336,,,A girl disguises herself to become a squire — or a symbol,
Miss Quinces,Kat Fajardo,BookTok,Toni,25-Feb,Quinceañera GN adored by Latinx BookTok,Series Continuation Hype,"Graphic Novel, Contemporary",No,Graphix,2022,272,,Culture Clash,A comic artist endures a summer quince… and maybe likes it,
Julieta and the Romeos,Maria E. Andreu,BookTok,Toni,25-Mar,Bilingual rom-com with alt tropes resurging,Algorithmic Popularity (General Virality),"YA Romance, Latinx Fiction",No,Balzer + Bray,2023,368,,Mild Crush Drama,A girl co-writes a love story while unsure who her cowriter is,
Man Made Monsters,Andrea L. Rogers,BookTok,Toni,25-Mar,Indigenous queer horror/folklore trending,Queer or Identity-Based Discovery,"Horror, Short Stories, Speculative",No,Levine Querido,2022,320,,,A Cherokee family faces monsters across generations,
The Witch King,H.E. Edgmon,BookTok,Toni,25-Mar,Queer fae chaos & trans rep re-trending,Queer or Identity-Based Discovery,"YA Fantasy, Queer SFF",Yes,Inkyard Press,2021,384,,,A runaway witch prince is dragged back to fae courts,
Frizzy,"Claribel A. Ortega, Rose Bousamra",BookTok,Toni,25-Mar,Afro-Latinx hair identity GN still rising,Queer or Identity-Based Discovery,"Graphic Novel, Coming of Age",No,First Second,2022,224,,Cultural Tension,A tween pushes back on salon visits and embraces her curls,
Everyone on This Train Is a Suspect,Benjamin Stevenson,BookTok,Toni,25-Mar,Alt comedy-mystery + GN meme trend,Algorithmic Popularity (General Virality),"Literary Mystery, Meta Humor",Yes,Mariner,2024,352,,,None,A writer on a literary retreat gets caught in a real murder
The Deep & Dark Blue,Niki Smith,BookTok,Toni,25-Mar,Trans twins in graphic fantasy world still trending,Algorithmic Popularity (General Virality),"Graphic Novel, Queer Fantasy",No,"Little, Brown",2020,256,,"War,Identity",Siblings hide in a magical women’s order — and one finds herself,
Woven in Moonlight,Isabel Ibañez,BookTok,Toni,25-Mar,Latinx-inspired fantasy with weaving magic resurging,Algorithmic Popularity (General Virality),"YA Fantasy, Revolution",Yes,Page Street,2020,384,,"Colonialism,War",A girl spies for her people using magic spun into thread,
Heathen (Vol. 1),Natasha Alterici,BookTok,Toni,25-Mar,Queer Viking warrior story resurging in alt spaces,Queer or Identity-Based Discovery,"Graphic Novel, Queer Mythology",Yes,Vault Comics,2017,120,,,A banished woman rides to slay Odin and free the Valkyries,
You & Me at the End of the World,Brianna Bourne,BookTok,Toni,25-Mar,Apocalyptic metaphor romance rising again,Algorithmic Popularity (General Virality),"YA Speculative, Queer",No,Scholastic,2021,384,,"Loneliness,Mental Health",Two teens wake up to find they’re alone in the world — or are they?,
Thirsty Mermaids,Kat Leyh,BookTok,Toni,25-Mar,Queer chaotic mermaid GN trending again,Queer or Identity-Based Discovery,"Graphic Novel, Queer Comedy",No,Gallery 13,2021,256,,"Alcoholism,Queerness",Mermaids turn human to get more booze and crash a seaside town,
When Angels Left the Old Country,Sacha Lamb,BookTok,Toni,25-Mar,Queer Jewish angel/demon alt fantasy resurging,Queer or Identity-Based Discovery,"Queer Fantasy, Historical",No,Levine Querido,2022,400,,"Immigration,Prejudice",An angel and a demon immigrate to 1900s NYC,
Cosmoknights (Vol. 1),Hannah Templer,BookTok,Toni,25-Mar,Space gladiator lesbians = still viral,Algorithmic Popularity (General Virality),"Graphic Novel, Queer Sci-Fi",Yes,Top Shelf,2019,216,,,Girls fight for liberation in intergalactic tournaments,
Juliet Takes a Breath,Gabby Rivera,BookTok,Toni,25-Mar,Print novel version resurging alongside GN,Algorithmic Popularity (General Virality),"Queer Coming of Age, Latinx",No,Dial Books,2016,276,,"Racism,Queer Identity",A Bronx teen explores queerness while interning with a white feminist,
Tasting Light,Multiple Authors,BookTok,Toni,25-Mar,Queer SFF short fiction collection trending again,Queer or Identity-Based Discovery,"YA SFF, Anthology, Queer Lit",No,Levine Querido,2022,320,,,"Disabled, neurodivergent, and queer teens star in SFF tales",
We Are the Ants,Shaun David Hutchinson,BookTok,Toni,25-Mar,Sad gay aliens book resurging in emo BookTok,Series Continuation Hype,"YA Sci-Fi, Queer Lit",No,Simon Pulse,2016,464,,,A boy can stop the end of the world — if he wants to,
Mexican Gothic,Silvia Moreno-Garcia,BookTok,Toni,25-Apr,Gothic horror classic regains momentum,Dark Academia or Speculative Trend,"Horror, Magical Realism, Feminist Lit",No,Del Rey,2020,320,,Latinx,"Body horror, racism","A 1950s Mexican socialite faces ghosts, mold, and madness"
The Moth Keeper,K. O’Neill,BookTok,Toni,25-Apr,Soft fantasy GN with sapphic vibes resurging,Algorithmic Popularity (General Virality),"Graphic Novel, Fantasy, Coming of Age",No,Random House,2023,272,,,A quiet girl guards the night moths that protect her desert village,
The Sunbearer Trials,Aiden Thomas,BookTok,Toni,25-Apr,Queer demi-god Latinx Hunger Games vibes trending,Queer or Identity-Based Discovery,"YA Fantasy, Myth-Inspired",Yes,Feiwel & Friends,2022,416,,,Trans teen competes in trials to save the world,
Shadowshaper,Daniel José Older,BookTok,Toni,25-Apr,Brooklyn street art + ancestral magic resurging,Algorithmic Popularity (General Virality),"YA Urban Fantasy, AfroLatinx Folklore",Yes,Arthur A. Levine,2015,304,,,A girl learns she’s part of a secret spiritual order,
The Book Eaters,Sunyi Dean,BookTok,Toni,25-Apr,Alt dark fantasy w/ viral “eats books not food” concept,Series Continuation Hype,"Dark Fantasy, Gothic Alt Lit",No,Tor,2022,304,,,A mother rebels against her cult to save her queer son,
Babel,R. F. Kuang,BookTok,Toni,25-Apr,Dark academia + linguistic magic remains viral,Dark Academia or Speculative Trend,"Historical Fantasy, Alt-History",No,Harper Voyager,2022,560,,,Language is power — and its cost is blood,
Stargazing,Jen Wang,BookTok,Toni,25-Apr,Alt GN about girlhood + neurodivergence resurging,Algorithmic Popularity (General Virality),"Graphic Novel, Contemporary",No,First Second,2019,224,,Illness,A quiet girl befriends a chaotic girl with a brain condition,
The Ghosts of Rose Hill,R.M. Romero,BookTok,Toni,25-Apr,"Bilingual verse novel about ghosts, love, identity",Queer or Identity-Based Discovery,"Magical Realism, Verse, Queer Lit",No,Peachtree Teen,2022,400,,,A violinist finds a boy’s ghost — and her purpose — in Prague,
The Magic Fish,Trung Le Nguyen,BookTok,Toni,25-Apr,Visual language & queer fairy tales still resonating,Queer or Identity-Based Discovery,"Graphic Novel, Coming of Age",No,Random House,2020,256,,,A son comes out through stories he can’t say aloud,
The Strange Tales of Oscar Zahn,Tri Vuong,BookTok,Toni,25-Apr,Alt-quirky GN trending in zinecore and soft horror,Algorithmic Popularity (General Virality),"Graphic Novel, Supernatural Mystery",Yes,Webtoon/Indie,2024,200+,,,A skull-headed spirit detective solves grief-shaped mysteries,
Undrowned: Black Feminist Lessons from Marine Mammals,Alexis Pauline Gumbs,BookTok,Toni,25-Apr,Experimental queer nonfiction resurging in indie circles,Indie or BIPOC Author Buzz,"Essay/Poetry, Speculative Nonfiction",No,AK Press,2020,180,,"Existential,Poetic","Lessons from whales, dolphins, and survival",
Camp Spirit,Axelle Lenoir,BookTok,Toni,25-Apr,Soft horror + queer awakening GN resurging,Queer or Identity-Based Discovery,"Graphic Novel, Horror-Comedy",No,Top Shelf,2020,244,,,A camp counselor with a bad attitude uncovers weird truths,
Bruja Born,Zoraida Córdova,BookTok,Toni,25-Apr,Brooklyn bruja sisters still hot on TikTok,Algorithmic Popularity (General Virality),"YA Urban Fantasy, Latinx Witch Lit",Yes,Sourcebooks,2018,336,,,A bruja accidentally raises the dead,
"Everything Is Beautiful, and I'm Not Afraid",Yao Xiao,BookTok,Toni,25-Apr,Tender alt memoir in comic form resurging,Algorithmic Popularity (General Virality),"Graphic Memoir, Queer",No,Andrews McMeel,2020,144,,,"A Chinese queer artist reflects on love, belonging, and names",
Deep Dark Fears,Fran Krause,BookTok,Toni,25-Apr,Dreamy horror microcomic trending again,Algorithmic Popularity (General Virality),"Graphic Novel, Horror Humor",Yes,Ten Speed,2015,160,,,"Readers’ most irrational fears, drawn like bedtime stories",
We Are the Crisis,Cadwell Turnbull,BookTok,Toni,25-May,Sequel to viral alt-sci-fi with themes of revolution,Series Continuation Hype,"Afrofuturism, Sci-Fi",Yes,Blackstone,2023,416,,,Secret gods live among us — and fight for liberation,
The Prince and the Dressmaker,Jen Wang,BookTok,Toni,25-May,Graphic fairytale resurges with cosplay fandom,Algorithmic Popularity (General Virality),"Graphic Novel, Queer Fairytale",No,First Second,2018,288,,Gender Dysphoria,A prince wears dresses at night — and finds love,
Witchbody,Sabrina Scott,BookTok,Toni,25-May,Queer ecological witchcraft zine resurging,Queer or Identity-Based Discovery,"Graphic Essay, Occult Theory",No,Self-Pub / indie,2019,120,,,"A visual essay on witchcraft, body, and nature",
Juniper & Thorn,Ava Reid,BookTok,Toni,25-May,Gothic fairytale horror still drawing new readers,Dark Academia or Speculative Trend,"Dark Fantasy, Horror",No,Harper Voyager,2022,304,,,A witch girl fights patriarchal control in a cursed city,
Tell Me How It Ends,Valeria Luiselli,BookTok,Toni,25-May,Short-form activism & immigration storytelling resurging,Algorithmic Popularity (General Virality),"Essay, Nonfiction",No,Coffee House Press,2017,128,,,A translator recounts real migrant children’s stories,
The Stars and the Blackness Between Them,Junauda Petrus,BookTok,Toni,25-May,Queer poetic novel resurging for stargazers & softies,Queer or Identity-Based Discovery,"YA Literary, Magical Realism",No,Dutton,2019,320,,,A Trinidadian girl meets a girl in Minneapolis — and love,
We Light Up the Sky,Lilliam Rivera,BookTok,Toni,25-May,Anti-colonial alien sci-fi re-trending via alt recs,Algorithmic Popularity (General Virality),YA Sci-Fi,No,Bloomsbury YA,2021,224,,,"A girl, a ghost, and an alien visitor",
Your Heart is a Muscle the Size of a Fist,Sunil Yapa,BookTok,Toni,25-May,Protest lit resurging amid political unrest,Algorithmic Popularity (General Virality),"Literary Fiction, Protest Lit",No,Lee Boudreaux Books,2016,320,,,A young man is caught between protestors and cops at WTO,
When the Moon Was Ours,Anna-Marie McLemore,BookTok,Toni,25-May,Queer trans fairytale remains a quiet classic,Queer or Identity-Based Discovery,YA Magical Realism,No,Thomas Dunne,2016,288,,"Transphobia,Secrets",A moonmaker and a rose-growing girl in a magical small town,
A Natural History of Transition,Callum Angus,BookTok,Toni,25-May,Indie queer lit gaining momentum via small press fans,Indie or BIPOC Author Buzz,"Literary Fiction, Speculative",No,Metonymy Press,2021,160,,"Dysphoria,Transformation","Surreal, mythic stories of gender and body shifts",
Light from Uncommon Stars,Ryka Aoki,BookTok,Toni,25-May,Space violinists + demons + donuts = viral again,Algorithmic Popularity (General Virality),Queer Sci-Fi Fantasy,No,Tor,2021,384,,,A trans violinist finds family with a space alien baker,
Abolition. Feminism. Now.,"Angela Davis, Gina Dent, et al.",BookTok,Toni,25-May,Radical nonfiction trending through #booktokfeminism,Series Continuation Hype,"Nonfiction, Political Theory",No,Haymarket Books,2022,220,,Incarceration,"A call to rethink justice, care, and systems",
Cemetery Boys,Aiden Thomas,BookTok,Toni,25-May,Sapphic-coded ghost story still beloved,Algorithmic Popularity (General Virality),"YA Paranormal, Romance",No,Swoon Reads,2020,352,,,A boy summons a ghost who won’t leave,
Dreaming of You,Melissa Lozada-Oliva,BookTok,Toni,25-May,Bizarre poetic horror novella trending again,Algorithmic Popularity (General Virality),"Poetry/Novella, Pop Culture Horror",No,Astra House,2021,112,,,A girl resurrects Selena — with chaotic results,
Never Heroes,T. Rafael Cimino,BookTok,Toni,25-May,Latinx urban fantasy gaining steam via indie hype,Indie or BIPOC Author Buzz,"Urban Fantasy, Action Lit",No,Self-Pub,2024,380,,,A washed-up cop becomes protector of ancient deities in Miami,
